credential_id,credential_name,client_id,client_name,dynamic_commission,action
34467,Nautalia_799_Alava,1555,NAUTALIA VIAJES,TRUE,-0.5
34468,Nautalia_888_INPLANT ABEX,1555,NAUTALIA VIAJES,TRUE,-0.5
34473,Nautalia_678_MAHONIA,1555,NAUTALIA VIAJES,TRUE,-0.5
34655,Nautalia_889 - OUTPLANT KNAPP,1555,NAUTALIA VIAJES,TRUE,-0.5
34656,Nautalia_890 - INPLANT ALTRA,1555,NAUTALIA VIAJES,TRUE,-0.5
34764,Nautalia_891_OUTPLANT UNIVERSIDAD ALCALÁ DE HENARES,1555,NAUTALIA VIAJES,TRUE,-0.5
32703,TRIP JACK,1552,TRIP JACK,TRUE,0.1
31318,Prestigia,1521,PRESTIGIA,TRUE,-0.5
32713,Prestigia B2B,1521,PRESTIGIA,TRUE,-0.5
34045,Prestigia Organic,1521,PRESTIGIA,TRUE,-0.5
30933,Xiangdo,1491,"HONGKONG YONGZHENG TECHNOLOGY CO.,LIMITED",TRUE,0.3
34463,Xiangdo - B2B CUG,1491,"HONGKONG YONGZHENG TECHNOLOGY CO.,LIMITED",TRUE,0.3
30710,AIRTICKET GROUP,1474,AIRTICKET GROUP,TRUE,-0.5
21217,FindHotel CUG,1437,FindHotel,TRUE,0.3
21950,Findhotel_B2C,1437,FindHotel,TRUE,0.3
31083,Findhotel-Loyalty,1437,FindHotel,TRUE,0.3
33182,FindHotel LM,1437,FindHotel,TRUE,0.3
35020,Findhotel APP,1437,FindHotel,TRUE,0.3
12175,Karpaten Outgoing SRL,1027,Karpaten ,TRUE,-0.5
12122,TRIP.COM,913,trip.com ,TRUE,-0.5
34427,Geotravel Operador Mayorista (MX),793,Geotravel Operador Mayorista,TRUE,-0.5
11189,CaspiHotel,789,Caspi Tours,TRUE,-0.5
10676,Bedsonline ( Brasil),737,Hotelbeds Brasil,TRUE,-0.5
6480,THE FLIGHTS GURU LTD,380,The Flights Guru,TRUE,-0.5
22003,Stayforlong Prime,338,Stayforlong,TRUE,-0.5
30830,Stayforlong Mobile,338,Stayforlong,TRUE,-0.5
33284,Stayforlong Web,338,Stayforlong,TRUE,-0.5
6288,STAYFORLONG,338,Stayforlong,TRUE,-0.5
34398,Ottila_B2B,333,Ottila,TRUE,0.3
6257,Ottila,333,Ottila,TRUE,0.3
32834,TaleTravel_TGX,315,Tale Travel,TRUE,-0.5
6016,AIRTOUR,312,AIRTOUR,TRUE,0.2
5060,6 Tour,235,6 Tour,TRUE,0.3
11986,Traveluro_B2C (Holisto),211,Holisto (Splitty-Traveluro),TRUE,-0.5
11992,Traveluro_B2B (Holisto),211,Holisto (Splitty-Traveluro),TRUE,-0.5
11993,Traveluro_Mobile (Holisto),211,Holisto (Splitty-Traveluro),TRUE,-0.5
11994,ZAP TRAVEL CUG  (HOLISTO),211,Holisto (Splitty-Traveluro),TRUE,-0.5
11995,Traveluro_weekend (Holisto),211,Holisto (Splitty-Traveluro),TRUE,-0.5
35000,Nuitee Sensitive,186,Nuitee,TRUE,0.1
4396,Nuitee Travel,186,Nuitee,TRUE,0.1
4982,Nuitee Travel B2C,186,Nuitee,TRUE,0.1
8733,Nuitee - Package Rates,186,Nuitee,TRUE,0.1
33875,All Seasons (ES),157,All Seasons,TRUE,0.2
